ID,注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例,flag
76930,2002,6730,社区服务,江西,股份有限公司,企业法人,0.96,1
76936,2007,3550,商业服务业,山东,农民专业合作社,自然人,0.52,1
77132,2000,2940,社区服务,山东,合伙企业,企业法人,0.69,1
77260,2012,9470,商业服务业,山东,农民专业合作社,自然人,0.65,1
77280,2007,4190,社区服务,广西,有限责任公司,自然人,0.97,1
77441,2007,5000,社区服务,广东,集体所有制企业,企业法人,0.74,1
77443,2005,3680,社区服务,广西,集体所有制企业,自然人,0.84,1
77844,2004,1330,工业,湖北,农民专业合作社,企业法人,0.53,1
78030,2009,8930,商业服务业,广东,有限责任公司,企业法人,0.53,1
78079,2004,2640,服务业,广东,有限责任公司,自然人,0.76,1
78489,2011,2490,商业服务业,山东,农民专业合作社,自然人,0.67,1
78840,2012,8420,交通运输业,湖北,合伙企业,自然人,0.57,1
78969,2002,4270,零售业,湖北,集体所有制企业,企业法人,0.71,1
79148,2006,NA,工业,江西,集体所有制企业,企业法人,0.91,1
79420,2007,1140,社区服务,湖北,股份有限公司,自然人,1,1
79445,2010,6620,商业服务业,江西,农民专业合作社,自然人,0.85,1
79572,2003,1090,商业服务业,江西,有限责任公司,企业法人,0.84,1
79604,2006,4490,社区服务,广西,农民专业合作社,自然人,0.82,1
79742,2010,1000,工业,江西,集体所有制企业,企业法人,0.8,1
79772,2010,3020,服务业,山东,集体所有制企业,企业法人,0.6,1
79829,2006,7170,工业,广西,农民专业合作社,自然人,0.8,1
80270,2001,5830,工业,山东,合伙企业,企业法人,0.82,1
80564,NA,5630,服务业,福建,股份有限公司,自然人,0.55,1
80597,2001,2030,交通运输业,湖南,农民专业合作社,企业法人,0.54,1
80901,2002,1840,工业,湖南,合伙企业,自然人,0.86,1
81173,2005,5090,工业,广东,有限责任公司,自然人,0.92,1
81237,2002,8430,零售业,山东,股份有限公司,企业法人,0.8,1
83043,2008,1960,工业,广西,合伙企业,自然人,0.67,1
83045,2003,630,交通运输业,广西,有限责任公司,自然人,0.8,1
83051,2006,440,商业服务业,湖南,农民专业合作社,企业法人,0.86,1
83301,2000,4030,商业服务业,福建,股份有限公司,自然人,0.68,1
83708,2011,1450,服务业,福建,有限责任公司,企业法人,0.84,1
83725,2004,5870,工业,湖南,合伙企业,自然人,0.6,1
83744,2004,3100,社区服务,湖北,农民专业合作社,自然人,0.92,1
84018,2014,8130,服务业,广东,合伙企业,自然人,0.9,1
84070,2012,9670,服务业,湖北,股份有限公司,企业法人,0.86,1
85181,2014,2460,商业服务业,湖北,有限责任公司,自然人,0.61,1
85201,2005,7300,社区服务,江西,合伙企业,企业法人,0.87,1
85559,2013,8500,交通运输业,湖南,集体所有制企业,企业法人,0.53,1
85727,2006,770,工业,湖南,集体所有制企业,企业法人,0.66,1
86245,2013,3970,服务业,NA,股份有限公司,企业法人,0.99,1
86397,2002,3830,服务业,湖北,农民专业合作社,自然人,0.85,1
86424,2010,8170,服务业,江西,股份有限公司,自然人,0.66,1
86620,2001,4870,商业服务业,广西,合伙企业,自然人,0.76,1
86798,2003,3050,服务业,福建,股份有限公司,自然人,0.53,1
87041,2004,9350,服务业,山东,合伙企业,自然人,0.97,1
