ID,year,从业人数,资产总额,负债总额,营业总收入,主营业务收入,利润总额,净利润,纳税总额,所有者权益合计
20812,2015,388,11250,15000,45000,18000,22500,NA,0,-3750
20853,2015,724,53790,52160,37653,22591.8,18826.5,-3765.3,0,1630
20921,2015,103,352380,515985,1127616,789331.2,451046.4,-112761.6,0,-163605
21044,2015,318,65880,64050,250344,125172,100137.6,-25034.4,0,1830
21593,2015,415,112560,161805,258888,207110.4,25888.8,-25888.8,0,-49245
21913,2015,307,15600,6500,53040,31824,15912,-5304,0,9100
21933,2015,32,137900,256100,620550,310275,124110,-62055,0,-118200
21985,2015,393,3420,0,684,273.6,136.8,-68.4,0,3420
22166,2015,937,94500,135000,179550,107730,89775,-17955,0,-40500
22549,2015,644,199920,97580,319872,159936,31987.2,-31987.2,0,102340
22785,2015,424,141570,68640,608751,304375.5,60875.1,-60875.1,0,72930
22869,2015,653,124740,115830,561330,392931,56133,-56133,0,8910
23208,2015,710,74620,69290,223860,156702,111930,-22386,0,5330
23245,2015,481,422400,415360,506880,202752,50688,-50688,0,7040
23491,2015,589,172480,249480,413952,331161.6,82790.4,-41395.2,0,-77000
23961,2015,25,11920,2980,53640,37548,10728,-5364,0,8940
24265,2015,538,16460,4115,60902,36541.2,24360.8,-6090.2,0,12345
24611,2015,790,466080,912740,885552,619886.4,88555.2,-88555.2,0,-446660
24623,2015,616,62000,83700,NA,177940,76260,-25420,0,-21700
25111,2015,394,35000,47250,87500,43750,35000,-8750,0,-12250
25208,2015,373,304040,297130,1094544,656726.4,437817.6,-109454.4,0,6910
25529,2015,283,124800,115200,349440,244608,174720,-34944,0,9600
25732,2015,400,207900,396000,1018710,407484,407484,-101871,0,-188100
25947,2015,513,212400,415360,637200,318600,318600,-63720,0,-202960
26293,2015,984,36600,17995,164700,65880,82350,-16470,0,18605
26448,2015,172,86240,41160,206976,124185.6,62092.8,-20697.6,0,45080
26730,2015,725,90000,43875,9000,5400,2700,-900,0,46125
26885,2015,93,223680,438040,22368,13420.8,8947.2,-2236.8,0,-214360
26888,2015,877,59820,49850,23928,9571.2,4785.6,-2392.8,0,9970
27003,2015,361,98280,92820,216216,172972.8,86486.4,-21621.6,0,5460
27258,2015,816,8910,7920,35640,17820,17820,-3564,0,990
27622,2015,138,131880,183690,303324,212326.8,60664.8,-30332.4,0,-51810
27678,2015,832,35880,29900,17940,14352,3588,-1794,0,5980
27935,2015,406,33120,58880,149040,59616,59616,-14904,0,-25760
28415,2015,237,199160,191500,338572,135428.8,33857.2,-33857.2,0,7660
28529,2015,128,31120,35010,77800,54460,15560,-7780,0,-3890
29118,2015,174,21320,31365,31980,19188,15990,-3198,0,-10045
29357,2015,274,99120,90860,277536,194275.2,83260.8,-27753.6,0,8260
29403,2015,992,119160,225080,500472,350330.4,200188.8,-50047.2,0,-105920
29427,2015,576,161280,307200,370944,296755.2,37094.4,-37094.4,0,-145920
29593,2015,45,172000,163400,51600,36120,20640,-5160,0,8600
29601,2015,925,6640,9960,19920,11952,5976,-1992,0,-3320
29967,2015,862,277800,136585,166680,133344,50004,-16668,0,141215
29976,2015,775,169120,326160,236768,118384,118384,-23676.8,0,-157040
28,2016,396,73800,71750,346860,173430,173430,-34686,0,2050
230,2016,365,53760,50400,155904,124723.2,46771.2,-15590.4,0,3360
429,2016,678,531850,783270,1329625,531850,132962.5,-132962.5,0,-251420
693,2016,366,41800,66880,183920,91960,36784,-18392,0,-25080
727,2016,872,130800,183120,483960,241980,48396,-48396,0,-52320
990,NA,177,16880,4220,75960,30384,7596,-7596,0,12660
1137,2016,750,94080,91840,272832,109132.8,109132.8,-27283.2,0,2240
1274,2016,122,321000,315650,256800,179760,51360,-25680,0,5350
1560,2016,143,224000,325500,560000,280000,224000,-56000,0,-101500
1873,2016,354,191100,369460,267540,133770,133770,-26754,0,-178360
2260,2016,176,108360,198660,32508,16254,3250.8,-3250.8,0,-90300
2694,2016,135,19440,34020,9720,3888,2916,-972,0,-14580
2992,2016,70,24030,32040,31239,12495.6,12495.6,-3123.9,0,-8010
3261,2016,998,177920,86180,444800,266880,44480,-44480,0,91740
3313,2016,109,535040,790020,2354176,1883340.8,706252.8,-235417.6,0,-254980
3537,2016,932,13350,17800,5340,2670,1068,-534,0,-4450
3719,2016,978,209220,101440,271986,135993,108794.4,-27198.6,0,107780
3720,2016,255,33280,65280,143104,57241.6,14310.4,-14310.4,0,-32000
3742,2016,769,139500,131750,502200,351540,150660,-50220,0,7750
3770,2016,780,48200,19280,62660,37596,31330,-6266,0,28920
4107,2016,660,478800,470820,2010960,804384,804384,-201096,0,7980
4321,2016,734,455950,447660,820710,410355,246213,-82071,0,8290
4911,2016,196,613500,907980,245400,122700,49080,-24540,0,-294480
5267,2016,315,18100,24435,38010,15204,7602,-3801,0,-6335
5646,2016,209,5520,2645,4416,3532.8,1324.8,-441.6,0,2875
6172,2016,150,47040,45570,61152,48921.6,24460.8,-6115.2,0,1470
6357,2016,672,219000,430700,1095000,657000,547500,-109500,0,-211700
6370,2016,572,8260,7080,NA,15611.4,11151,-2230.2,0,1180
7662,2016,901,310200,601600,186120,74448,18612,NA,0,-291400
7706,2016,NA,5220,9280,24012,16808.4,4802.4,-2401.2,0,-4060
7824,2016,968,118950,111020,344955,241468.5,103486.5,-34495.5,0,7930
7865,2016,665,311760,303100,561168,392817.6,56116.8,-56116.8,0,8660
8444,2016,116,25600,23040,69120,41472,34560,-6912,0,2560
8492,2016,366,18720,24960,7488,3744,748.8,-748.8,0,-6240
8608,2016,254,351560,343570,1019524,713666.8,305857.2,-101952.4,0,7990
8663,2016,622,27600,26680,27600,13800,13800,-2760,0,920
8854,2016,820,258390,250560,439263,175705.2,87852.6,-43926.3,0,7830
8872,2016,431,666000,328560,3330000,2664000,1665000,-333000,0,337440
8972,2016,548,11040,5060,52992,21196.8,5299.2,-5299.2,0,5980
9095,2016,650,59400,105600,136620,109296,54648,-13662,0,-46200
9124,2016,649,3840,5040,7680,5376,3072,-768,0,-1200
9476,2016,542,135240,125580,419244,293470.8,209622,-41924.4,0,9660
9542,2016,730,155700,220575,NA,298944,49824,-49824,0,-64875
9663,2016,472,73320,107865,190632,95316,19063.2,-19063.2,0,-34545
9998,2016,747,113400,157950,476280,381024,47628,-47628,0,-44550
10470,2016,226,82440,77860,313272,250617.6,31327.2,-31327.2,0,4580
10813,2016,292,178740,253215,71496,42897.6,28598.4,-7149.6,0,-74475
10869,2016,593,109680,50270,120648,72388.8,48259.2,-12064.8,0,59410
10994,2016,597,150600,71535,602400,301200,180720,-60240,0,79065
10995,2016,526,373500,737040,1232550,739530,123255,-123255,0,-363540
10999,2016,474,104400,51330,407160,285012,203580,-40716,0,53070
11796,2016,477,167130,80470,300834,120333.6,150417,-30083.4,0,86660
12192,2016,542,33840,46530,77832,38916,31132.8,-7783.2,0,-12690
12233,2016,917,6600,6600,25080,20064,10032,-2508,0,0
12404,2016,269,85500,159600,307800,153900,61560,-30780,0,-74100
12418,2016,332,38400,56880,180480,72192,18048,-18048,0,-18480
12660,2016,787,206400,296700,309600,123840,154800,-30960,0,-90300
13491,2016,469,23700,37920,21330,17064,6399,-2133,0,-14220
13593,2016,207,18720,9180,91728,45864,27518.4,-9172.8,0,9540
13957,2016,40,334740,490155,803376,642700.8,80337.6,-80337.6,0,-155415
14254,2016,279,242000,237600,822800,493680,329120,-82280,0,4400
14485,2016,650,70900,127620,70900,35450,35450,-7090,0,-56720
14520,2016,135,12100,22000,55660,22264,5566,-5566,0,-9900
14555,2016,742,3900,1625,18330,10998,5499,-1833,0,NA
15099,2016,323,108400,158535,130080,104064,65040,-13008,0,-50135
15197,2016,652,263600,257010,1318000,922600,263600,-131800,0,6590
15385,2016,257,38880,74520,66096,46267.2,13219.2,-6609.6,0,-35640
15416,2016,295,263760,127170,395640,316512,118692,-39564,0,136590
15685,2016,927,150500,74175,180600,144480,54180,-18060,0,76325
15886,2016,527,40500,79200,141750,70875,28350,-14175,0,-38700
16069,2016,560,8640,3840,864,518.4,259.2,-86.4,0,4800
16326,2016,617,9630,12840,45261,22630.5,22630.5,-4526.1,0,-3210
16758,2016,792,22080,42320,59616,23846.4,11923.2,-5961.6,0,-20240
16884,2016,654,118020,219180,472080,236040,236040,-47208,0,-101160
16999,2016,362,543600,1069080,163080,81540,81540,-16308,0,-525480
17641,2016,463,86100,120540,120540,72324,60270,-12054,0,-34440
17646,2016,185,159250,76440,732550,439530,219765,-73255,0,82810
18216,2016,173,170100,81000,680400,272160,340200,-68040,0,89100
18366,2016,347,22950,32130,11475,5737.5,5737.5,NA,0,-9180
18509,2016,306,340080,667080,1156272,925017.6,115627.2,-115627.2,0,-327000
18837,2016,212,187200,177840,786240,628992,393120,-78624,0,9360
18932,2016,310,5680,2485,5112,3578.4,2044.8,-511.2,0,3195
19112,2016,370,140400,269100,154440,123552,46332,-15444,0,-128700
19317,2016,34,21150,19740,63450,44415,12690,-6345,0,1410
19501,2016,845,21060,9720,86346,60442.2,25903.8,-8634.6,0,11340
19559,2016,355,139650,203490,432915,303040.5,173166,-43291.5,0,-63840
19651,2016,740,80850,117810,72765,43659,7276.5,-7276.5,0,-36960
19876,2016,119,119760,164670,47904,28742.4,23952,-4790.4,0,-44910
20333,2016,208,15120,7290,42336,16934.4,21168,-4233.6,0,7830
20540,2016,146,120000,236000,192000,76800,76800,-19200,0,-116000
20686,2016,39,248000,121520,1066400,639840,319920,-106640,0,126480
20812,2016,588,15000,22500,19500,9750,7800,-1950,0,-7500
20853,2016,359,78240,153220,328608,197164.8,65721.6,-32860.8,0,-74980
20921,2016,853,251700,243310,679590,475713,135918,-67959,0,8390
21044,2016,655,91500,89670,183000,91500,36600,-18300,0,1830
21593,2016,582,304850,150080,518245,207298,103649,-51824.5,0,154770
21913,2016,812,52000,74100,150800,60320,45240,-15080,0,-22100
21933,2016,80,295500,571300,620550,372330,62055,-62055,0,-275800
21985,2016,967,13680,15390,41040,32832,16416,-4104,0,-1710
22166,2016,30,108000,51750,334800,167400,100440,-33480,0,56250
22549,2016,495,285600,280840,856800,342720,171360,-85680,0,4760
22785,2016,983,154440,150150,216216,108108,108108,NA,0,4290
22869,2016,868,133650,249480,614790,368874,307395,-61479,0,-115830
23208,2016,43,127920,61295,550056,220022.4,165016.8,-55005.6,0,66625
23245,2016,954,563200,1112320,2421760,1937408,242176,-242176,0,-549120
23491,2016,977,462000,455840,508200,254100,254100,-50820,0,6160
23961,2016,772,71520,65560,71520,28608,28608,-7152,0,5960
24265,2016,118,24690,8230,111105,88884,11110.5,-11110.5,0,16460
24611,2016,961,252460,485500,732134,292853.6,366067,-73213.4,0,-233040
24623,2016,456,18600,18600,66960,26784,20088,-6696,0,0
25111,2016,863,77000,73500,184800,73920,36960,-18480,0,3500
25208,2016,743,414600,815380,580440,464352,58044,-58044,0,-400780
25529,2016,342,672000,1324800,1344000,940800,403200,-134400,0,-652800
25732,2016,527,158400,222750,126720,50688,38016,-12672,0,-64350
25947,2016,709,94400,134520,358720,143488,71744,-35872,0,-40120
26293,2016,978,39040,38430,19520,7808,5856,-1952,0,610
26448,2016,430,47040,21560,164640,115248,65856,-16464,0,25480
26730,2016,191,74250,144000,7425,3712.5,2970,-742.5,0,-69750
26885,2016,927,60580,27960,278668,195067.6,111467.2,-27866.8,0,32620
26888,2016,45,348950,677960,279160,111664,139580,-27916,0,-329010
27003,2016,599,152880,221130,168168,100900.8,67267.2,-16816.8,0,-68250
27258,2016,676,9900,4455,27720,19404,8316,-2772,0,5445
27622,2016,568,565200,1111560,1921680,768672,960840,-192168,0,-546360
27678,2016,948,167440,161460,267904,214323.2,80371.2,-26790.4,0,5980
27935,2016,454,110400,53360,452640,362112,135792,-45264,0,57040
28415,NA,188,428960,842600,943712,754969.6,471856,-94371.2,0,-413640
28529,2016,524,46680,77800,182052,91026,54615.6,-18205.2,0,-31120
29118,2016,108,28700,28290,126280,88396,12628,-12628,0,410
29357,2016,595,33040,37170,135464,67732,54185.6,-13546.4,0,-4130
29403,2016,200,46340,39720,125118,100094.4,12511.8,-12511.8,0,NA
29427,2016,42,307200,299520,122880,61440,36864,-12288,0,7680
29593,2016,197,189200,361200,529760,370832,264880,-52976,0,-172000
29601,2016,330,14940,19920,73206,43923.6,14641.2,-7320.6,0,-4980
29967,2016,253,370400,731540,1481600,1185280,740800,-148160,0,-361140
29976,2016,632,193280,93620,908416,454208,90841.6,-90841.6,0,99660
28,2017,393,82000,159900,172200,103320,17220,-17220,0,-77900
230,2017,592,151200,221760,30240,15120,15120,-3024,0,-70560
429,2017,532,348120,338450,1322856,925999.2,396856.8,-132285.6,0,9670
693,2017,760,100320,45980,321024,128409.6,160512,-32102.4,0,54340
727,2017,584,697600,1033320,2511360,1004544,502272,-251136,0,-335720
990,2017,880,75960,101280,372204,260542.8,37220.4,-37220.4,0,-25320
1137,2017,215,100800,147840,80640,32256,40320,-8064,0,-47040
1274,2017,666,428000,633975,1326800,928760,265360,-132680,0,-205975
1560,2017,958,238000,346500,119000,95200,35700,-11900,0,-108500
1873,2017,NA,70070,63700,42042,21021,NA,-4204.2,0,6370
2260,2017,947,63210,81270,290766,116306.4,58153.2,-29076.6,NA,-18060
2694,2017,661,109350,NA,459270,275562,183708,-45927,0,-51030
2992,2017,188,26700,48060,40050,20025,8010,-4005,0,-21360
3261,2017,725,472600,233520,236300,94520,118150,-23630,0,239080
3313,2017,853,426360,836000,255816,127908,127908,-25581.6,0,-409640
3537,2017,396,89000,126825,124600,99680,37380,-12460,0,-37825
3719,2017,572,304320,297980,1186848,949478.4,356054.4,-118684.8,0,6340
3720,2017,813,35840,17600,10752,7526.4,3225.6,-1075.2,0,18240
3742,2017,317,217000,418500,347200,138880,138880,-34720,0,-201500
3770,2017,740,115680,53020,381744,305395.2,190872,-38174.4,0,62660
4107,2017,109,518700,255360,1659840,995904,497952,-165984,0,263340
4321,2017,622,397920,584445,716256,358128,214876.8,-71625.6,0,-186525
4911,2017,347,130880,122700,78528,47116.8,15705.6,-7852.8,0,8180
5267,2017,107,16290,21720,76563,38281.5,30625.2,-7656.3,0,-5430
5646,2017,330,3220,2990,13202,9241.4,3960.6,-1320.2,0,230
6172,2017,235,124950,185220,274890,137445,109956,-27489,0,-60270
6357,2017,305,233600,229950,163520,65408,81760,-16352,0,3650
6370,2017,617,28320,13570,124608,62304,24921.6,-12460.8,0,14750
7662,2017,900,225600,216200,1037760,622656,415104,-103776,0,9400
7706,2017,159,17400,25230,17400,12180,1740,-1740,0,-7830
7824,2017,843,95160,174460,66612,53289.6,13322.4,-6661.2,0,-79300
7865,2017,136,337740,164540,371514,222908.4,111454.2,-37151.4,0,173200
8444,2017,52,38400,35840,157440,125952,62976,-15744,0,2560
8492,2017,450,24960,34320,99840,49920,39936,-9984,0,-9360
8608,2017,291,191760,275655,709512,567609.6,283804.8,-70951.2,0,-83895
8663,2017,817,NA,19780,101200,60720,20240,-10120,0,20700
8854,2017,94,281880,137025,169128,67651.2,67651.2,NA,0,144855
8872,2017,512,568320,1118880,1704960,852480,170496,-170496,0,-550560
8972,2017,892,35880,17480,3588,2870.4,1435.2,-358.8,0,18400
9095,2017,61,330000,323400,1485000,594000,297000,-148500,0,6600
9124,2017,375,7200,3360,23040,13824,2304,-2304,0,3840
9476,2017,451,579600,1139880,2376360,1901088,712908,-237636,0,-560280
9542,2017,647,259500,125425,1193700,477480,119370,-119370,0,134075
9663,2017,310,98700,97290,256620,128310,25662,-25662,0,1410
9998,2017,803,324000,315900,1134000,680400,453600,-113400,0,8100
10470,2017,278,229000,336630,595400,357240,178620,-59540,0,-107630
10813,2017,937,208530,297900,62559,43791.3,31279.5,-6255.9,0,-89370
10869,2017,489,237640,342750,998088,598852.8,299426.4,-99808.8,0,-105110
10994,2017,538,248490,120480,74547,52182.9,14909.4,-7454.7,0,128010
10995,2017,536,159360,77190,175296,87648,17529.6,-17529.6,0,82170
10999,2017,634,27840,13050,13920,11136,1392,-1392,0,14790
11796,2017,646,61900,55710,129990,103992,25998,-12999,0,6190
12192,2017,112,56400,80370,11280,6768,3384,-1128,0,-23970
12233,2017,281,26400,24200,31680,25344,9504,-3168,0,2200
12404,2017,204,45600,79800,4560,3648,912,-456,0,-34200
12418,2017,305,40800,60480,61200,36720,30600,-6120,0,-19680
12660,2017,716,120400,55900,421400,337120,126420,-42140,0,64500
13491,2017,983,142200,206190,113760,91008,34128,-11376,0,-63990
13593,2017,340,20160,19800,26208,15724.8,2620.8,-2620.8,0,360
13957,2017,590,358650,350680,143460,114768,71730,-14346,0,7970
14254,2017,92,211200,310200,591360,295680,236544,-59136,0,-99000
14485,2017,306,233970,340320,233970,140382,116985,-23397,0,-106350
14520,2017,480,39600,19250,110880,88704,11088,-11088,0,20350
14555,2017,637,10400,9750,45760,32032,9152,-4576,0,650
15099,2017,774,119240,116530,536580,268290,214632,-53658,0,2710
15197,2017,345,144980,207585,130482,78289.2,52192.8,-13048.2,0,-62605
15385,2017,388,84240,123930,294840,206388,88452,-29484,0,-39690
15416,2017,819,376800,551070,942000,471000,94200,-94200,0,-174270
15685,2017,613,129000,63425,90300,36120,9030,-9030,0,65575
15886,2017,513,14400,13500,61920,30960,18576,-6192,0,900
16069,2017,392,7680,6720,15360,12288,1536,-1536,0,960
16326,2017,57,38520,70620,96300,77040,28890,-9630,0,-32100
16758,2017,873,12880,11960,57960,34776,5796,-5796,0,920
16884,2017,407,505800,746055,1719720,687888,515916,-171972,0,-240255
16999,2017,749,471120,924120,1130688,452275.2,565344,-113068.8,0,-453000
17641,2017,945,68880,126280,117096,70257.6,11709.6,-11709.6,0,-57400
17646,2017,28,76440,NA,160524,96314.4,80262,-16052.4,0,-63700
18216,2017,962,194400,186300,330480,231336,132192,NA,0,8100
18366,2017,856,30600,58140,52020,31212,5202,-5202,0,-27540
18509,2017,411,274680,268140,1373400,961380,686700,-137340,0,6540
18837,2017,974,411840,804960,1359072,815443.2,407721.6,-135907.2,0,-393120
18932,2017,20,19170,9230,36423,14569.2,10926.9,-3642.3,0,9940
19112,2017,413,152100,73125,380250,304200,190125,-38025,0,78975
19317,2017,728,42300,20445,101520,60912,20304,-10152,0,21855
19501,2017,681,45360,21870,172368,137894.4,34473.6,-17236.8,0,23490
19559,2017,918,159600,233415,191520,76608,19152,-19152,0,-73815
19651,2017,83,18480,24255,64680,32340,25872,-6468,0,-5775
19876,2017,435,99800,44910,19960,9980,3992,-1996,0,54890
20333,2017,27,32400,47790,116640,46656,46656,-11664,0,-15390
20540,2017,29,96000,188000,144000,115200,14400,-14400,0,-92000
20686,2017,377,163680,238080,261888,157132.8,78566.4,-26188.8,0,-74400
20812,2017,585,11250,7500,23625,9450,2362.5,-2362.5,0,3750
20853,2017,705,21190,9780,101712,50856,10171.2,-10171.2,0,11410
20921,2017,633,402720,788660,80544,48326.4,8054.4,-8054.4,0,-385940
21044,2017,239,40260,57645,197274,118364.4,39454.8,-19727.4,0,-17385
21593,2017,895,131320,126630,525280,262640,52528,-52528,0,4690
21913,2017,674,13000,15600,32500,16250,16250,-3250,0,-2600
21933,2017,174,472800,231475,1607520,1286016,643008,-160752,0,241325
21985,2017,806,20520,25650,90288,63201.6,36115.2,-9028.8,0,-5130
22166,2017,994,162000,236250,534600,374220,53460,-53460,NA,-74250
22549,2017,783,76160,142800,213248,85299.2,63974.4,-21324.8,0,-66640
22785,2017,156,223080,218790,490776,196310.4,49077.6,-49077.6,0,4290
22869,2017,147,570240,561330,798336,638668.8,239500.8,-79833.6,0,8910
23208,2017,191,95940,181220,28782,20147.4,NA,-2878.2,0,-85280
23245,2017,NA,239360,116160,1148928,459571.2,229785.6,-114892.8,0,123200
23491,2017,604,394240,388080,1261568,1009254.4,630784,-126156.8,0,6160
23961,2017,42,71520,32780,221712,177369.6,110856,-22171.2,0,38740
24265,2017,269,65840,86415,230440,184352,23044,-23044,0,-20575
24611,2017,559,135940,252460,217504,87001.6,21750.4,-21750.4,0,-116520
24623,2017,123,24800,27900,66960,26784,6696,-6696,0,-3100
25111,2017,756,126000,122500,NA,231840,115920,-28980,0,3500
25208,2017,442,89830,41460,386269,231761.4,154507.6,-38626.9,0,48370
25529,2017,811,576000,1132800,345600,207360,103680,-34560,0,-556800
25732,2017,220,356400,346500,1710720,684288,342144,-171072,0,9900
25947,2017,544,259600,127440,285560,171336,28556,-28556,0,132160
26293,2017,125,20740,20130,8296,4977.6,3318.4,-829.6,0,610
26448,2017,337,203840,399840,754208,527945.6,377104,-75420.8,0,-196000
26730,2017,597,81000,78750,340200,136080,170100,-34020,0,2250
26885,2017,244,260960,128150,782880,548016,78288,-78288,0,132810
26888,2017,502,398800,583245,239280,143568,95712,-23928,0,-184445
27003,2017,203,87360,81900,192192,134534.4,38438.4,-19219.2,0,5460
27258,2017,409,10890,19800,22869,11434.5,6860.7,-2286.9,0,-8910
27622,2017,449,150720,282600,572736,286368,229094.4,-57273.6,0,-131880
27678,2017,343,47840,62790,138736,83241.6,27747.2,-13873.6,0,-14950
27935,2017,978,202400,298080,263120,157872,52624,-26312,0,-95680
28415,2017,740,229800,444280,229800,114900,114900,-22980,0,-214480
28529,2017,90,46680,38900,9336,3734.4,933.6,-933.6,0,7780
29118,2017,982,24600,36285,95940,57564,47970,-9594,0,-11685
29357,2017,164,165200,313880,313880,125552,156940,-31388,0,-148680
29403,2017,735,158880,152260,730848,584678.4,219254.4,-73084.8,0,6620
